SECTOR,October,November,December,January,February,March,April,May,June,July,August,September,Yearly Total,Fiscal Year
Laredo,4479,4670,3571,6540,8057,9686,7069,7421,6149,5376,6570,5118,74706,2004
"Rio Grande Valley
(formerly McAllen)",5414,5053,4636,8102,8732,10149,9618,8916,7423,8826,8542,7536,92947,2004
San Diego,10426,7996,5849,13405,13252,17532,15962,14976,11548,9530,9716,8416,138608,2004
Tucson,26530,24890,17349,34913,45312,72095,64563,53132,42013,39114,38740,33120,491771,2004
Yuma,3033,3160,2246,7227,8847,12188,11344,10222,8820,10774,10768,9431,98060,2004
Coastal Border,1230,1037,1103,1153,1016,936,1016,839,981,516,817,510,11154,2004
Northern Border,774,591,592,738,688,932,704,878,929,1197,1082,854,9959,2004
Southwest Border,65391,57894,43614,92521,110669,154981,135468,118726,94590,92165,93246,80017,1139282,2004
Livermore,51,26,6,3,0,7,5,3,7,1,0,5,114,2005
Miami,541,460,489,641,487,574,536,717,676,648,586,890,7245,2005
New Orleans,140,129,135,155,73,100,96,170,69,83,186,22,1358,2005
Ramey,188,112,205,33,106,63,163,67,103,101,156,322,1619,2005
Blaine,89,92,75,69,93,96,68,88,93,85,72,81,1001,2005
Buffalo,26,27,21,28,29,37,40,53,19,34,45,41,400,2005
Detroit,200,176,133,164,205,193,132,113,122,107,132,116,1793,2005
Grand Forks,109,72,73,98,90,61,35,24,41,28,56,67,754,2005
Havre,83,106,57,73,70,85,105,89,88,70,74,48,948,2005
Houlton,17,47,31,27,26,6,19,10,11,18,8,13,233,2005
Spokane,26,26,30,26,7,22,33,30,41,18,14,6,279,2005
Swanton,193,186,141,95,105,152,105,123,241,274,214,106,1935,2005
"Big Bend
(formerly Marfa)",844,713,722,802,1113,1364,1276,866,620,761,777,678,10536,2005
Del Rio,3856,2795,2768,6120,7248,7935,7584,6270,4947,5873,6498,6612,68506,2005
El Centro,3723,2798,1772,4963,5926,6632,6010,5352,3829,3712,5047,5958,55722,2005
El Paso,7472,5801,4464,9898,13033,13249,15274,11041,8445,11568,12099,10335,122679,2005
Laredo,4691,3997,3367,6331,7530,8112,9043,7569,5699,6623,6635,5749,75346,2005
"Rio Grande Valley
(formerly McAllen)",7813,7512,7214,9136,10147,13176,14635,14796,13109,12208,12713,11727,134186,2005
San Diego,6702,5428,4632,9390,10864,12750,16534,15114,10921,10010,11798,12761,126904,2005
Tucson,31940,27673,17631,35873,45875,64096,52644,40764,31694,32390,29178,29321,439079,2005
Yuma,8872,8418,5836,10507,12039,15734,17062,14051,11522,11809,11988,10600,138438,2005
Coastal Border,920,727,835,832,666,744,800,957,855,833,928,1239,10336,2005
Northern Border,743,732,561,580,625,652,537,530,656,634,615,478,7343,2005
Southwest Border,75913,65135,48406,93020,113775,143048,140062,115823,90786,94954,96733,93741,1171396,2005
Livermore*,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
Miami,438,543,693,506,452,450,592,725,523,358,295,457,6032,2006
New Orleans,48,176,214,372,300,230,136,402,238,289,325,323,3053,2006
Ramey,184,119,174,60,208,136,127,149,112,46,85,36,1436,2006
